date,trip_count,avg_trip_minutes,member_trips,casual_trips,ADPT,ASLP,ASTP,AWBT,AWND,PRCP,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT06,WT08,WT09
2022-02-09,56007,13.892379660875724,49021,6986,-56.0,10169.0,10159.0,0.0,3.7,0.0,54.0,35.0,79.0,0.0,0.0,2.8,6.7,-0.5,270.0,260.0,7.6,10.7,,,,,,,
2022-02-10,61937,14.74052279493679,52706,9231,-33.0,10115.0,10102.0,28.0,4.4,0.0,51.0,23.0,89.0,0.0,0.0,6.3,13.3,1.1,270.0,270.0,12.5,16.1,1.0,,,,,1.0,
2022-02-11,64614,15.713164568824093,52601,12013,-28.0,10142.0,10132.0,39.0,5.0,0.0,46.0,24.0,63.0,0.0,0.0,8.6,13.3,2.8,170.0,170.0,11.2,14.8,,,,,,,
2022-02-12,68575,21.255207833515616,48006,20569,-28.0,10139.0,10119.0,56.0,5.9,0.0,36.0,24.0,50.0,0.0,0.0,11.8,15.6,5.6,260.0,270.0,11.2,14.8,,,,,,,
2022-02-13,20384,14.326304664606226,17002,3382,-50.0,10193.0,10183.0,-17.0,4.7,4.8,69.0,47.0,85.0,61.0,30.0,2.8,5.6,-3.2,350.0,320.0,8.1,11.6,1.0,,,,,1.0,
2022-02-14,34198,13.056924396650878,30627,3571,-167.0,10220.0,10196.0,-78.0,7.9,0.0,41.0,32.0,54.0,0.0,50.0,-4.3,-2.7,-7.7,320.0,300.0,11.6,15.2,,,,,,,
2022-02-15,40550,12.37458834484176,36179,4371,-172.0,10369.0,10345.0,-72.0,4.9,0.0,36.0,23.0,45.0,0.0,0.0,-4.7,0.0,-7.7,310.0,320.0,9.4,11.2,,,,,,,
2022-02-16,53683,13.161434912976796,46703,6980,-39.0,10362.0,10362.0,11.0,4.5,0.0,59.0,43.0,74.0,0.0,0.0,1.6,8.3,-2.7,190.0,180.0,8.9,11.2,,,,,,,
2022-02-17,67432,16.095799293609364,55659,11773,61.0,10179.0,10193.0,94.0,5.6,7.6,65.0,48.0,83.0,0.0,0.0,11.6,17.2,8.3,160.0,210.0,9.4,12.5,1.0,,,,,,
2022-02-18,47038,14.7300262900917,39690,7348,-28.0,10075.0,10041.0,33.0,9.1,6.4,51.0,33.0,81.0,0.0,0.0,9.9,17.2,-2.1,320.0,310.0,16.5,22.4,,,,,,,
2022-02-19,32450,15.943864109912688,26250,6200,-122.0,10169.0,10152.0,-39.0,7.6,0.0,41.0,29.0,54.0,0.0,0.0,0.1,5.0,-3.8,300.0,290.0,16.5,20.6,,,,,,,
2022-02-20,31051,18.22445836849055,24720,6331,-133.0,10291.0,10278.0,-50.0,5.8,0.0,42.0,28.0,54.0,0.0,0.0,-2.6,2.2,-5.5,310.0,310.0,15.7,21.9,,,,,,,
2022-02-21,52366,27.479718911762088,40074,12292,-44.0,10271.0,10257.0,17.0,3.4,0.0,51.0,30.0,82.0,0.0,0.0,4.1,12.2,0.6,210.0,220.0,7.2,10.3,,,,,,,
2022-02-22,36459,15.26395788922717,31457,5002,50.0,10224.0,10224.0,61.0,4.5,5.8,86.0,74.0,93.0,0.0,0.0,5.6,13.3,2.2,170.0,180.0,10.3,13.9,1.0,1.0,,,,1.0,
2022-02-23,66325,16.15082304962935,53782,12543,44.0,10159.0,10135.0,89.0,6.4,0.0,60.0,29.0,86.0,0.0,0.0,14.4,20.0,2.2,320.0,320.0,14.3,17.9,,,,,,,
2022-02-24,44725,13.751836163592325,39120,5605,-117.0,10305.0,10288.0,-33.0,4.8,0.0,43.0,30.0,52.0,0.0,0.0,1.1,2.2,-1.6,330.0,330.0,9.4,11.6,,,,,,,
2022-02-25,30412,14.400198657328248,26329,4083,-39.0,10203.0,10196.0,-11.0,6.6,20.8,72.0,48.0,89.0,8.0,0.0,0.8,6.1,-2.7,320.0,320.0,11.6,15.7,1.0,,,1.0,1.0,,
2022-02-26,41415,15.56168730572659,32462,8953,-111.0,10281.0,10274.0,-39.0,5.0,0.0,46.0,35.0,55.0,0.0,0.0,-1.1,3.3,-4.3,320.0,310.0,10.7,14.3,,,,,,,
2022-02-27,42805,18.32299093408091,33094,9711,-100.0,10163.0,10156.0,-11.0,7.2,0.0,39.0,22.0,54.0,0.0,0.0,2.4,8.9,-1.0,310.0,250.0,13.4,19.2,,,,,,,
2022-02-28,45636,14.69112605180121,39971,5665,-156.0,10240.0,10217.0,-44.0,5.2,0.0,31.0,21.0,59.0,0.0,0.0,0.8,2.2,-2.7,320.0,320.0,11.2,15.7,,,,,,,
2022-03-01,56019,13.520108457547142,48672,7347,-50.0,10196.0,10200.0,11.0,4.2,0.0,53.0,26.0,77.0,0.0,0.0,2.6,8.9,-0.5,170.0,190.0,10.3,13.0,,,,,,,
2022-03-02,67108,14.32067855943653,56644,10464,-22.0,10142.0,10135.0,33.0,4.7,0.0,52.0,27.0,74.0,0.0,0.0,7.7,11.7,4.4,310.0,310.0,8.1,10.3,,,,,,,
2022-03-03,55408,13.57345349588507,47799,7609,-89.0,10183.0,10152.0,-6.0,8.2,0.8,42.0,28.0,71.0,0.0,0.0,5.6,8.9,-3.8,310.0,320.0,13.4,17.0,,,,,,,
2022-03-04,49704,13.144485918638338,41927,7777,-150.0,10322.0,10308.0,-50.0,4.2,0.0,34.0,23.0,48.0,0.0,0.0,-1.9,3.3,-5.5,340.0,310.0,9.4,11.2,,,,,,,
2022-03-05,51358,17.751380862767242,39159,12199,-61.0,10312.0,10301.0,6.0,3.0,0.0,49.0,28.0,67.0,0.0,0.0,3.1,7.2,-0.5,160.0,180.0,8.1,10.3,,,,,,,
2022-03-06,54531,19.09786602635809,39193,15338,78.0,10166.0,10166.0,100.0,4.7,1.3,73.0,63.0,84.0,0.0,0.0,9.6,20.0,3.9,220.0,210.0,9.8,13.0,,,,,,,
2022-03-07,67882,15.6855161412451,55062,12820,89.0,10061.0,10058.0,133.0,6.2,1.3,57.0,36.0,67.0,0.0,0.0,18.2,23.3,10.0,290.0,290.0,20.1,25.0,,,,,,,
2022-03-08,62178,14.279977067719557,52956,9222,-72.0,10176.0,10146.0,11.0,8.2,0.0,39.0,30.0,48.0,0.0,0.0,8.7,10.0,4.4,310.0,310.0,17.0,20.6,,,,,,,
2022-03-09,28088,12.941554567786955,24993,3095,-28.0,10173.0,10163.0,11.0,4.4,14.7,73.0,37.0,92.0,15.0,0.0,3.2,5.0,0.6,40.0,40.0,7.6,9.4,1.0,,,1.0,,,
2022-03-10,66071,14.3294239603356,55606,10465,-17.0,10207.0,10193.0,22.0,2.5,0.0,65.0,36.0,93.0,0.0,0.0,4.0,10.0,0.0,170.0,130.0,5.4,6.7,1.0,,,,,1.0,
2022-03-11,69316,16.671986950824245,55021,14295,-17.0,10166.0,10166.0,39.0,3.1,0.0,56.0,22.0,86.0,0.0,0.0,7.2,11.7,2.2,150.0,160.0,7.2,9.4,,,,,,1.0,
2022-03-12,19628,17.28959153080633,16120,3508,-28.0,9983.0,9970.0,6.0,8.4,11.9,72.0,37.0,93.0,23.0,0.0,5.1,8.3,-3.8,320.0,300.0,17.9,21.5,1.0,1.0,,,,,
2022-03-13,30833,16.621385362003913,25092,5741,-133.0,10210.0,10179.0,-50.0,7.3,0.0,42.0,29.0,66.0,3.0,0.0,-2.3,1.7,-4.9,290.0,300.0,16.1,21.5,,,,,,,
2022-03-14,63206,16.138556910736323,51453,11753,-44.0,10274.0,10261.0,28.0,4.4,0.0,43.0,27.0,59.0,0.0,0.0,5.3,13.9,1.1,160.0,210.0,8.1,10.3,,,,,,,
2022-03-15,78946,17.55622189914625,62770,16176,-6.0,10220.0,10217.0,67.0,4.1,0.0,41.0,24.0,53.0,0.0,0.0,11.6,20.0,7.8,310.0,310.0,11.2,13.0,,,,,,,
2022-03-16,81449,16.94155121118737,64361,17088,28.0,10217.0,10203.0,78.0,3.5,0.0,54.0,38.0,83.0,0.0,0.0,13.6,17.8,6.1,170.0,280.0,7.6,10.3,,,,,,,
2022-03-17,50004,17.603056450150653,41530,8474,67.0,10159.0,10159.0,78.0,4.1,2.8,89.0,20.0,100.0,0.0,0.0,8.2,12.8,5.6,50.0,40.0,7.2,8.5,1.0,1.0,,,,1.0,
2022-03-18,92837,20.560949633048605,66524,26313,89.0,10152.0,10135.0,111.0,3.4,0.0,75.0,34.0,97.0,0.0,0.0,13.9,22.8,9.4,160.0,170.0,7.2,8.9,1.0,1.0,,,,1.0,
2022-03-19,77861,21.407567516043542,51524,26337,100.0,10088.0,10085.0,122.0,3.3,1.8,76.0,61.0,93.0,0.0,0.0,13.1,20.0,7.8,160.0,160.0,7.2,8.5,1.0,1.0,1.0,,,1.0,
2022-03-20,65417,22.99466317394561,45313,20104,28.0,10088.0,10068.0,78.0,7.3,0.0,52.0,44.0,72.0,0.0,0.0,14.3,16.1,7.8,310.0,310.0,14.3,17.9,,,,,,,
2022-03-21,73209,17.931194591056656,57913,15296,-39.0,10173.0,10152.0,50.0,6.4,0.0,36.0,21.0,56.0,0.0,0.0,10.4,16.7,6.7,310.0,290.0,12.5,15.7,,,,,,,
2022-03-22,75235,15.7003740741233,61036,14199,-94.0,10210.0,10190.0,33.0,7.2,0.0,25.0,14.0,43.0,0.0,0.0,10.7,13.9,6.7,310.0,320.0,11.2,13.4,,,,,,,
2022-03-23,60865,14.22017326706646,51250,9615,-56.0,10230.0,10224.0,17.0,5.2,2.8,46.0,30.0,82.0,0.0,0.0,7.2,8.3,3.9,110.0,50.0,8.9,10.3,,,,,,,
2022-03-24,45793,12.689683404668836,39254,6539,44.0,10122.0,10125.0,56.0,7.6,25.9,88.0,83.0,93.0,0.0,0.0,5.7,8.3,3.9,50.0,50.0,12.5,15.2,1.0,,,,,,
2022-03-25,74873,16.620056592719227,57669,17204,22.0,10024.0,10014.0,72.0,4.8,0.8,57.0,38.0,90.0,0.0,0.0,9.6,15.6,6.7,260.0,270.0,9.8,13.9,1.0,,,,,,
2022-03-26,62151,21.43016980794088,44161,17990,-11.0,9983.0,9973.0,50.0,5.5,1.0,49.0,38.0,66.0,0.0,0.0,10.4,11.7,6.1,270.0,250.0,10.7,14.3,,,1.0,,,,
2022-03-27,45625,18.108303925844748,34455,11170,-56.0,10041.0,10020.0,6.0,8.2,0.0,48.0,38.0,65.0,0.0,0.0,5.9,7.2,-1.0,310.0,290.0,13.9,17.0,,,,,,,
2022-03-28,38135,13.207065995367335,33802,4333,-156.0,10132.0,10122.0,-61.0,9.9,0.0,37.0,23.0,51.0,0.0,0.0,-1.5,0.0,-4.3,330.0,270.0,14.3,18.8,,,,,,,
2022-03-29,48426,13.104532882129435,42562,5864,-122.0,10203.0,10186.0,-39.0,8.5,0.0,41.0,29.0,53.0,0.0,0.0,-1.2,2.8,-3.8,310.0,290.0,12.5,15.7,,,,,,,
2022-03-30,61254,13.480222068490765,52504,8750,-94.0,10210.0,10207.0,-6.0,3.9,0.0,40.0,19.0,68.0,0.0,0.0,2.6,8.3,-1.0,310.0,310.0,9.4,10.7,,,,,,,
2022-03-31,72625,15.193521785886404,59236,13389,89.0,10047.0,10051.0,106.0,4.8,1.3,79.0,68.0,97.0,0.0,0.0,9.9,17.8,5.6,180.0,160.0,10.3,14.3,1.0,1.0,,,,1.0,
2022-04-01,68479,15.058485966987446,54413,14066,11.0,10034.0,10007.0,67.0,7.6,6.6,55.0,29.0,90.0,0.0,0.0,13.1,16.1,6.1,290.0,290.0,16.1,20.6,1.0,,,,,,
2022-04-02,73254,20.031499987258943,49956,23298,-44.0,10163.0,10152.0,28.0,6.1,0.0,46.0,25.0,73.0,0.0,0.0,7.2,12.8,3.9,310.0,310.0,13.0,16.1,,,,,,,
2022-04-03,37164,15.775767143382485,28709,8455,17.0,10098.0,10091.0,44.0,4.0,2.3,69.0,60.0,83.0,0.0,0.0,7.0,7.8,5.0,300.0,290.0,11.2,14.8,,,,,,,
2022-04-04,68902,14.633298346685631,56300,12602,-28.0,10146.0,10135.0,39.0,5.4,0.0,47.0,32.0,65.0,0.0,0.0,7.6,12.2,4.4,310.0,300.0,10.7,13.4,,,,,,,
2022-04-05,72629,14.247987864351703,60637,11992,-6.0,10166.0,10159.0,56.0,3.4,1.5,53.0,31.0,83.0,0.0,0.0,9.7,12.8,6.7,160.0,160.0,7.6,8.9,,,,,,,
2022-04-06,48443,15.225737201109206,40846,7597,61.0,10102.0,10091.0,78.0,6.9,9.1,85.0,77.0,93.0,0.0,0.0,8.6,11.7,6.7,50.0,60.0,13.4,17.4,1.0,,,,,,
2022-04-07,35322,12.599632765698432,30922,4400,72.0,10064.0,10064.0,83.0,7.5,24.6,84.0,73.0,90.0,0.0,0.0,9.1,13.3,7.8,130.0,110.0,15.7,22.4,1.0,,1.0,,,1.0,
2022-04-08,88195,18.37530529810836,66714,21481,28.0,10024.0,10003.0,83.0,4.7,1.0,53.0,20.0,93.0,0.0,0.0,12.8,17.8,10.0,290.0,280.0,8.9,12.5,1.0,,,,,,
2022-04-09,67329,18.763686016674335,47685,19644,28.0,10034.0,10020.0,72.0,4.4,0.5,58.0,43.0,74.0,0.0,0.0,11.4,13.3,8.9,310.0,310.0,11.2,13.9,,,,,,,
2022-04-10,57144,19.213013349024685,41669,15475,-28.0,10088.0,10064.0,39.0,7.9,0.0,47.0,36.0,63.0,0.0,0.0,8.6,9.4,6.1,320.0,300.0,13.4,16.1,,,,,,,
2022-04-11,75355,15.789054446508748,60200,15155,-22.0,10183.0,10169.0,50.0,4.7,0.0,46.0,23.0,64.0,0.0,0.0,8.8,15.6,5.6,190.0,190.0,9.8,11.6,,,,,,,
2022-04-12,93575,19.092856147831508,68249,25326,50.0,10163.0,10152.0,100.0,3.3,1.0,54.0,27.0,75.0,0.0,0.0,13.4,21.7,10.0,300.0,310.0,7.2,9.4,,,,,,,
2022-04-13,98764,17.998356625896076,74733,24031,83.0,10149.0,10146.0,117.0,3.4,0.0,63.0,40.0,77.0,0.0,0.0,15.4,20.6,10.0,170.0,140.0,7.6,10.7,,,,,,,
2022-04-14,90635,19.451324612640445,67705,22930,89.0,10085.0,10068.0,122.0,4.9,2.8,63.0,33.0,81.0,0.0,0.0,16.3,21.7,12.8,320.0,320.0,12.5,16.1,,,1.0,,,,
2022-04-15,99636,20.176286017771357,67011,32625,-39.0,10183.0,10166.0,72.0,5.5,0.0,29.0,13.0,53.0,0.0,0.0,15.7,20.6,10.6,180.0,180.0,13.0,17.0,,,,,,,
2022-04-16,82188,21.62049927544167,50913,31275,22.0,10129.0,10119.0,83.0,5.6,3.6,47.0,29.0,79.0,0.0,0.0,15.7,21.1,7.2,330.0,330.0,11.6,14.3,,,,,,,
2022-04-17,54110,28.106212335674243,36641,17469,-50.0,10203.0,10179.0,28.0,7.0,0.0,42.0,27.0,74.0,0.0,0.0,8.3,10.0,5.6,290.0,290.0,12.5,16.1,,,,,,,
2022-04-18,55811,14.52706287470212,44925,10886,-28.0,10230.0,10240.0,39.0,5.7,23.4,50.0,32.0,86.0,0.0,0.0,7.9,11.7,5.0,70.0,80.0,11.6,14.8,1.0,,,,,,
2022-04-19,58873,14.522317229743118,48926,9947,-6.0,10071.0,10051.0,44.0,8.8,29.0,58.0,35.0,90.0,0.0,0.0,7.6,10.0,4.4,260.0,280.0,14.3,18.3,1.0,,,,,,
2022-04-20,85294,16.704185085898967,65149,20145,-33.0,10264.0,10237.0,50.0,5.5,0.0,41.0,22.0,71.0,0.0,0.0,9.4,15.6,6.1,300.0,290.0,11.6,14.8,,,,,,,
2022-04-21,77520,15.58258215879773,60782,16738,28.0,10298.0,10295.0,72.0,5.4,0.0,59.0,34.0,83.0,0.0,0.0,10.6,15.0,7.2,170.0,170.0,11.6,16.1,,,,,,,
2022-04-22,97494,19.272851772587718,68940,28554,6.0,10274.0,10261.0,89.0,4.8,0.0,39.0,19.0,67.0,0.0,0.0,14.6,20.0,11.1,300.0,330.0,10.3,12.5,,,,,,,
2022-04-23,94585,21.397835013127523,58927,35658,11.0,10271.0,10268.0,72.0,3.1,0.0,45.0,31.0,59.0,0.0,0.0,13.3,16.1,10.0,180.0,150.0,7.2,8.5,,,,,,,
2022-04-24,83406,21.107273891366727,53642,29764,6.0,10227.0,10230.0,72.0,4.1,0.0,47.0,32.0,77.0,0.0,0.0,12.8,15.6,8.9,40.0,150.0,8.1,10.3,,,,,,,
2022-04-25,72682,17.630071652999824,58750,13932,17.0,10237.0,10230.0,67.0,4.2,0.0,54.0,39.0,66.0,0.0,0.0,10.4,14.4,7.8,140.0,60.0,6.3,8.9,,,,,,,
2022-04-26,74947,14.514176956827267,61684,13263,83.0,10169.0,10169.0,100.0,3.8,1.3,80.0,59.0,89.0,0.0,0.0,11.5,15.6,10.0,50.0,40.0,7.6,10.7,1.0,,,,,1.0,
2022-04-27,82446,15.700949377168085,67192,15254,-22.0,10139.0,10125.0,50.0,9.6,0.0,43.0,28.0,74.0,0.0,0.0,11.6,15.0,5.6,310.0,310.0,13.9,17.4,,,,,,,
2022-04-28,78531,15.679303056117966,63402,15129,-83.0,10159.0,10146.0,28.0,9.3,0.0,31.0,16.0,55.0,0.0,0.0,8.2,13.3,5.0,320.0,320.0,13.9,18.3,,,,,,,
2022-04-29,87089,17.38255710422671,65581,21508,-111.0,10179.0,10166.0,33.0,7.7,0.0,21.0,11.0,32.0,0.0,0.0,10.4,16.7,5.6,330.0,320.0,13.4,15.7,,,,,,,
2022-04-30,101537,23.785245148402392,63457,38080,-61.0,10190.0,10179.0,56.0,3.6,0.0,27.0,18.0,49.0,0.0,0.0,12.9,19.4,8.3,160.0,350.0,7.2,9.4,,,,,,,
2022-05-01,94657,26.00394555641245,58022,36635,11.0,10193.0,10179.0,83.0,3.8,0.0,46.0,23.0,74.0,0.0,0.0,13.6,19.4,8.9,160.0,150.0,7.2,8.9,,,,,,,
2022-05-02,54536,14.544521873319152,43733,10803,83.0,10176.0,10163.0,100.0,4.3,8.9,83.0,60.0,89.0,0.0,0.0,12.1,13.9,10.0,130.0,40.0,8.9,10.3,1.0,,1.0,,,1.0,
2022-05-03,92564,16.190239882495717,72817,19747,78.0,10203.0,10190.0,100.0,4.5,0.0,73.0,58.0,86.0,0.0,0.0,12.4,16.1,10.0,50.0,50.0,7.6,10.3,1.0,,,,,,
2022-05-04,79594,15.22031378202712,63422,16172,94.0,10152.0,10142.0,111.0,2.7,3.0,80.0,63.0,89.0,0.0,0.0,12.0,19.4,10.0,60.0,60.0,6.3,8.1,1.0,,,,,1.0,
2022-05-05,110355,17.630841545919985,83518,26837,67.0,10173.0,10163.0,117.0,4.1,0.0,50.0,29.0,74.0,0.0,0.0,17.2,21.7,13.3,340.0,360.0,7.2,9.4,,,,,,,
2022-05-06,35170,13.555688732821531,29329,5841,89.0,10132.0,10125.0,111.0,3.8,18.8,78.0,54.0,87.0,0.0,0.0,14.8,16.7,10.0,110.0,110.0,7.6,9.8,1.0,,,,,,
